sensor_id,lokasi,tipe_sensor,timestamp,suhu,kelembapan,amonia,status_pintu,tekanan,pm25
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:05.058837+00:00,,94.09,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:05.059532+00:00,,90.76,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:05.060077+00:00,,,8.74,,,13.11
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:05.060538+00:00,,,9.2,,,13.8
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:05.061003+00:00,,,,0,,17.44
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:05.061749+00:00,,,,0,,16.86
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:05.065348+00:00,,,,,64.37,11.65
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:05.066556+00:00,,,,,77.08,25.7
TEMP-A1,Cold Room A,suhu,2026-05-07T08:21:13.177403+00:00,-18.31,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:21:13.177649+00:00,-19.99,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:13.177783+00:00,,90.43,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:13.177940+00:00,,90.81,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:13.178111+00:00,,,4.27,,,6.4
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:13.178281+00:00,,,4.45,,,6.68
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:13.178499+00:00,,,,0,,13.78
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:13.178620+00:00,,,,1,,179.81
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:13.178775+00:00,,,,,14.91,178.47
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:13.178923+00:00,,,,,55.49,15.36
TEMP-A1,Cold Room A,suhu,2026-05-07T08:21:15.068250+00:00,-19.67,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:21:15.069169+00:00,-20.8,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:15.069576+00:00,,94.09,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:15.069728+00:00,,93.98,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:15.069871+00:00,,,6.14,,,9.21
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:15.069972+00:00,,,1.18,,,1.77
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:15.070188+00:00,,,,0,,9.23
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:15.070293+00:00,,,,0,,16.78
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:15.070455+00:00,,,,,74.27,17.04
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:15.070597+00:00,,,,,68.17,15.68
TEMP-A1,Cold Room A,suhu,2026-05-07T08:21:23.179636+00:00,-18.87,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:21:23.179822+00:00,-21.98,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:23.179940+00:00,,90.1,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:23.180059+00:00,,89.75,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:23.180188+00:00,,,4.87,,,7.3
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:23.180346+00:00,,,5.35,,,8.02
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:23.180532+00:00,,,,0,,14.15
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:23.180661+00:00,,,,1,,176.79
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:23.180840+00:00,,,,,76.07,19.91
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:23.180978+00:00,,,,,77.86,12.33
TEMP-A1,Cold Room A,suhu,2026-05-07T08:21:25.071189+00:00,-19.83,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:21:25.071506+00:00,-19.41,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:25.071662+00:00,,92.05,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:25.071844+00:00,,89.54,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:25.072003+00:00,,,1.07,,,1.6
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:25.072096+00:00,,,2.15,,,3.22
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:25.072196+00:00,,,,0,,19.06
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:25.072336+00:00,,,,0,,12.02
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:25.072440+00:00,,,,,68.31,22.65
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:25.072537+00:00,,,,,74.55,19.82
TEMP-A1,Cold Room A,suhu,2026-05-07T08:21:33.181406+00:00,-19.37,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:21:33.182436+00:00,-20.4,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:33.183155+00:00,,93.62,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:33.183472+00:00,,89.65,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:33.183778+00:00,,,1.19,,,1.78
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:33.184067+00:00,,,6.92,,,10.38
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:33.184309+00:00,,,,0,,6.54
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:33.184558+00:00,,,,0,,6.37
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:33.185070+00:00,,,,,66.23,18.89
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:33.185286+00:00,,,,,7.07,163.14
TEMP-A1,Cold Room A,suhu,2026-05-07T08:21:35.073987+00:00,-7.73,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:21:35.074727+00:00,-20.96,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:35.075532+00:00,,91.33,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:35.076375+00:00,,85.21,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:35.076860+00:00,,,2.27,,,3.41
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:35.077727+00:00,,,8.55,,,12.83
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:35.078116+00:00,,,,0,,14.98
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:35.079799+00:00,,,,0,,11.26
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:35.080110+00:00,,,,,77.41,10.8
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:35.080468+00:00,,,,,51.43,11.94
TEMP-A1,Cold Room A,suhu,2026-05-07T08:21:43.185770+00:00,-19.46,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:21:43.185914+00:00,-21.47,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:43.186008+00:00,,89.54,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:43.186139+00:00,,94.56,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:43.186281+00:00,,,0.51,,,0.77
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:43.186397+00:00,,,5.22,,,7.83
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:43.186513+00:00,,,,0,,10.87
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:43.186615+00:00,,,,0,,16.53
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:43.186734+00:00,,,,,77.9,12.28
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:43.186840+00:00,,,,,73.06,29.78
TEMP-A1,Cold Room A,suhu,2026-05-07T08:21:45.081674+00:00,-5.5,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:21:45.081956+00:00,-20.37,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:45.082227+00:00,,87.65,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:45.082460+00:00,,88.95,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:45.082600+00:00,,,9.12,,,13.68
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:45.082720+00:00,,,9.45,,,14.17
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:45.083213+00:00,,,,0,,18.69
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:45.083585+00:00,,,,0,,14.51
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:45.083853+00:00,,,,,74.38,13.66
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:45.084114+00:00,,,,,71.47,25.6
TEMP-A1,Cold Room A,suhu,2026-05-07T08:21:53.187340+00:00,-19.86,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:21:53.187522+00:00,-21.07,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:53.187637+00:00,,85.8,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:53.187731+00:00,,88.82,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:53.187853+00:00,,,7.46,,,11.19
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:53.187976+00:00,,,3.13,,,4.7
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:53.188090+00:00,,,,0,,8.52
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:53.188216+00:00,,,,0,,17.94
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:53.188328+00:00,,,,,72.54,17.84
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:53.188448+00:00,,,,,50.64,25.32
TEMP-A1,Cold Room A,suhu,2026-05-07T08:21:55.085429+00:00,-18.11,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:21:55.086197+00:00,-21.87,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:21:55.086629+00:00,,86.06,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:21:55.087479+00:00,,85.63,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:21:55.087690+00:00,,,0.96,,,1.44
NH3-B1,Cold Room B,amonia,2026-05-07T08:21:55.087978+00:00,,,5.64,,,8.46
DOOR-A1,Cold Room A,pintu,2026-05-07T08:21:55.088190+00:00,,,,0,,11.59
DOOR-B1,Cold Room B,pintu,2026-05-07T08:21:55.088436+00:00,,,,0,,13.06
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:21:55.088658+00:00,,,,,76.46,27.37
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:21:55.088786+00:00,,,,,62.11,15.51
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:03.188876+00:00,-18.22,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:03.189597+00:00,-20.22,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:03.190122+00:00,,89.2,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:03.190446+00:00,,90.39,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:03.190733+00:00,,,5.07,,,7.61
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:03.191073+00:00,,,1.33,,,2.0
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:03.191393+00:00,,,,0,,17.27
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:03.191651+00:00,,,,0,,10.25
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:03.191950+00:00,,,,,56.26,13.3
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:03.192194+00:00,,,,,62.36,25.15
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:05.089715+00:00,-21.58,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:05.090076+00:00,-20.9,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:05.090635+00:00,,91.08,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:05.090916+00:00,,89.77,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:05.091246+00:00,,,2.51,,,3.76
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:05.091449+00:00,,,7.74,,,11.61
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:05.091773+00:00,,,,0,,15.47
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:05.091983+00:00,,,,0,,10.95
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:05.092203+00:00,,,,,64.73,26.89
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:05.092403+00:00,,,,,56.46,29.57
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:13.193279+00:00,-18.04,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:13.193692+00:00,-19.31,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:13.194083+00:00,,87.59,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:13.194355+00:00,,89.5,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:13.194678+00:00,,,2.51,,,3.76
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:13.194962+00:00,,,1.76,,,2.64
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:13.195266+00:00,,,,0,,17.25
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:13.196324+00:00,,,,0,,5.88
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:13.196614+00:00,,,,,51.72,15.94
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:13.196959+00:00,,,,,72.05,14.06
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:15.093444+00:00,-18.25,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:15.094235+00:00,-21.27,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:15.095275+00:00,,93.55,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:15.096152+00:00,,90.29,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:15.096806+00:00,,,4.68,,,7.02
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:15.097511+00:00,,,8.49,,,12.73
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:15.098218+00:00,,,,0,,17.94
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:15.099521+00:00,,,,0,,14.92
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:15.100115+00:00,,,,,54.65,27.48
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:15.100671+00:00,,,,,12.18,168.57
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:23.197645+00:00,-20.13,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:23.198122+00:00,-21.01,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:23.198423+00:00,,88.71,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:23.198757+00:00,,85.81,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:23.199042+00:00,,,4.31,,,6.46
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:23.199297+00:00,,,39.44,,,236.64
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:23.199582+00:00,,,,1,,189.95
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:23.199849+00:00,,,,0,,15.98
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:23.200230+00:00,,,,,63.71,15.56
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:23.200549+00:00,,,,,54.09,14.55
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:25.102159+00:00,-20.5,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:25.103314+00:00,-21.07,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:25.104118+00:00,,94.06,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:25.104730+00:00,,57.91,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:25.105343+00:00,,,30.22,,,181.32
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:25.105886+00:00,,,5.96,,,8.94
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:25.106213+00:00,,,,0,,5.1
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:25.106575+00:00,,,,0,,19.75
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:25.106923+00:00,,,,,10.34,187.94
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:25.107332+00:00,,,,,67.28,25.83
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:33.201486+00:00,-18.82,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:33.202099+00:00,-20.03,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:33.202628+00:00,,91.55,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:33.203121+00:00,,94.84,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:33.203498+00:00,,,6.53,,,9.79
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:33.203774+00:00,,,1.13,,,1.69
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:33.204074+00:00,,,,0,,11.0
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:33.204305+00:00,,,,0,,14.72
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:33.204584+00:00,,,,,65.83,16.42
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:33.204958+00:00,,,,,73.81,19.34
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:35.108536+00:00,-21.98,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:35.109462+00:00,-7.21,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:35.110168+00:00,,93.3,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:35.110928+00:00,,94.94,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:35.111467+00:00,,,7.07,,,10.61
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:35.112117+00:00,,,6.75,,,10.12
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:35.112667+00:00,,,,0,,8.15
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:35.113192+00:00,,,,0,,5.02
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:35.113581+00:00,,,,,72.12,25.95
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:35.114980+00:00,,,,,78.7,18.52
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:43.206009+00:00,-19.27,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:43.206227+00:00,-20.43,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:43.206394+00:00,,87.59,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:43.206564+00:00,,89.1,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:43.206764+00:00,,,5.49,,,8.23
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:43.206957+00:00,,,7.52,,,11.28
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:43.207134+00:00,,,,0,,11.78
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:43.207318+00:00,,,,0,,20.0
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:43.207505+00:00,,,,,62.16,16.57
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:43.207679+00:00,,,,,69.1,14.54
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:45.116090+00:00,-21.53,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:45.116516+00:00,-20.53,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:45.116731+00:00,,87.23,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:45.116828+00:00,,91.89,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:45.116928+00:00,,,3.18,,,4.77
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:45.117008+00:00,,,0.86,,,1.29
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:45.117151+00:00,,,,0,,17.07
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:45.117365+00:00,,,,0,,14.19
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:45.117693+00:00,,,,,66.75,14.1
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:45.117962+00:00,,,,,69.03,11.09
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:53.208508+00:00,-18.27,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:53.209088+00:00,-19.17,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:53.209390+00:00,,94.06,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:53.209842+00:00,,90.15,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:53.210106+00:00,,,8.78,,,13.17
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:53.210429+00:00,,,5.37,,,8.05
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:53.210726+00:00,,,,0,,10.65
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:53.211034+00:00,,,,0,,7.1
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:53.211329+00:00,,,,,78.64,24.46
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:53.211579+00:00,,,,,64.87,13.96
TEMP-A1,Cold Room A,suhu,2026-05-07T08:22:55.118985+00:00,-19.01,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:22:55.119325+00:00,-19.87,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:22:55.119708+00:00,,91.72,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:22:55.119966+00:00,,90.88,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:22:55.120385+00:00,,,4.07,,,6.11
NH3-B1,Cold Room B,amonia,2026-05-07T08:22:55.120659+00:00,,,3.91,,,5.87
DOOR-A1,Cold Room A,pintu,2026-05-07T08:22:55.121144+00:00,,,,0,,18.42
DOOR-B1,Cold Room B,pintu,2026-05-07T08:22:55.121411+00:00,,,,1,,197.29
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:22:55.121894+00:00,,,,,51.63,25.56
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:22:55.122085+00:00,,,,,51.1,16.67
TEMP-A1,Cold Room A,suhu,2026-05-07T08:23:03.212280+00:00,-20.93,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:23:03.212497+00:00,-19.99,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:23:03.212668+00:00,,86.23,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:23:03.212856+00:00,,94.9,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:23:03.213035+00:00,,,4.61,,,6.92
NH3-B1,Cold Room B,amonia,2026-05-07T08:23:03.213214+00:00,,,8.37,,,12.55
DOOR-A1,Cold Room A,pintu,2026-05-07T08:23:03.213358+00:00,,,,0,,14.87
DOOR-B1,Cold Room B,pintu,2026-05-07T08:23:03.213521+00:00,,,,1,,178.94
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:23:03.213682+00:00,,,,,64.93,26.36
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:23:03.213823+00:00,,,,,54.31,14.71
TEMP-A1,Cold Room A,suhu,2026-05-07T08:23:05.123135+00:00,-19.52,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:23:05.123761+00:00,-20.08,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:23:05.124149+00:00,,93.01,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:23:05.124685+00:00,,87.22,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:23:05.125209+00:00,,,2.81,,,4.21
NH3-B1,Cold Room B,amonia,2026-05-07T08:23:05.126008+00:00,,,3.69,,,5.54
DOOR-A1,Cold Room A,pintu,2026-05-07T08:23:05.127126+00:00,,,,0,,5.39
DOOR-B1,Cold Room B,pintu,2026-05-07T08:23:05.128088+00:00,,,,0,,5.4
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:23:05.130387+00:00,,,,,59.69,28.45
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:23:05.132293+00:00,,,,,78.1,10.33
TEMP-A1,Cold Room A,suhu,2026-05-07T08:23:13.214343+00:00,-18.13,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:23:13.214778+00:00,-20.5,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:23:13.215177+00:00,,89.04,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:23:13.215513+00:00,,93.83,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:23:13.216122+00:00,,,2.72,,,4.08
NH3-B1,Cold Room B,amonia,2026-05-07T08:23:13.216417+00:00,,,2.41,,,3.62
DOOR-A1,Cold Room A,pintu,2026-05-07T08:23:13.216735+00:00,,,,0,,8.16
DOOR-B1,Cold Room B,pintu,2026-05-07T08:23:13.216996+00:00,,,,0,,17.46
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:23:13.217244+00:00,,,,,63.39,14.46
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:23:13.217522+00:00,,,,,76.91,24.28
TEMP-A1,Cold Room A,suhu,2026-05-07T08:23:15.135588+00:00,-19.73,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:23:15.136468+00:00,-5.1,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:23:15.137027+00:00,,94.02,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:23:15.137654+00:00,,94.3,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:23:15.138557+00:00,,,9.28,,,13.92
NH3-B1,Cold Room B,amonia,2026-05-07T08:23:15.138822+00:00,,,0.54,,,0.81
DOOR-A1,Cold Room A,pintu,2026-05-07T08:23:15.139112+00:00,,,,0,,18.11
DOOR-B1,Cold Room B,pintu,2026-05-07T08:23:15.139454+00:00,,,,0,,11.11
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:23:15.139818+00:00,,,,,72.81,29.76
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:23:15.140131+00:00,,,,,72.04,14.81
TEMP-A1,Cold Room A,suhu,2026-05-07T08:23:23.218137+00:00,-21.4,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:23:23.218366+00:00,-19.18,,,,,
HUM-A1,Cold Room A,kelembapan,2026-05-07T08:23:23.218560+00:00,,89.67,,,,
HUM-B1,Cold Room B,kelembapan,2026-05-07T08:23:23.218740+00:00,,92.09,,,,
NH3-A1,Cold Room A,amonia,2026-05-07T08:23:23.218967+00:00,,,5.11,,,7.67
NH3-B1,Cold Room B,amonia,2026-05-07T08:23:23.219139+00:00,,,6.72,,,10.08
DOOR-A1,Cold Room A,pintu,2026-05-07T08:23:23.219323+00:00,,,,0,,9.28
DOOR-B1,Cold Room B,pintu,2026-05-07T08:23:23.219481+00:00,,,,0,,10.77
PRESS-A1,Cold Room A,tekanan,2026-05-07T08:23:23.219635+00:00,,,,,51.96,18.36
PRESS-B1,Cold Room B,tekanan,2026-05-07T08:23:23.219801+00:00,,,,,75.16,20.05
TEMP-A1,Cold Room A,suhu,2026-05-07T08:23:25.142605+00:00,-19.28,,,,,
TEMP-B1,Cold Room B,suhu,2026-05-07T08:23:25.144144+00:00,-21.74,,,,,
